Date,Close
2020-05-10,147.54
2020-05-11,147.26
2020-05-12,145.47
2020-05-13,146.53
2020-05-14,148.0
2020-05-15,148.31
2020-05-16,149.18
2020-05-17,147.83
2020-05-18,150.28
2020-05-19,151.39
2020-05-20,151.31
2020-05-21,155.04
2020-05-22,155.43
2020-05-23,158.49
2020-05-24,158.26
2020-05-25,157.03
2020-05-26,157.7
2020-05-27,159.12
2020-05-28,158.48
2020-05-29,159.55
2020-05-30,158.28
2020-05-31,160.64
2020-06-01,161.58
2020-06-02,162.27
2020-06-03,163.09
2020-06-04,162.03
2020-06-05,164.12
2020-06-06,162.13
2020-06-07,163.38
2020-06-08,167.0
2020-06-09,166.16
2020-06-10,165.1
2020-06-11,164.94
2020-06-12,165.63
2020-06-13,165.84
2020-06-14,166.51
2020-06-15,167.87
2020-06-16,163.96
2020-06-17,161.62
2020-06-18,164.18
2020-06-19,163.92
2020-06-20,166.24
2020-06-21,166.46
2020-06-22,164.66
2020-06-23,168.17
2020-06-24,165.89
2020-06-25,167.69
2020-06-26,171.27
2020-06-27,171.36
2020-06-28,169.84
2020-06-29,166.42
2020-06-30,166.87
2020-07-01,169.66
2020-07-02,171.32
2020-07-03,170.43
2020-07-04,167.11
2020-07-05,168.24
2020-07-06,171.96
2020-07-07,171.25
2020-07-08,171.31
2020-07-09,170.73
2020-07-10,174.68
2020-07-11,174.12
2020-07-12,172.32
2020-07-13,175.39
2020-07-14,174.26
2020-07-15,172.81
2020-07-16,172.14
2020-07-17,174.02
2020-07-18,171.58
2020-07-19,169.48
2020-07-20,168.47
2020-07-21,171.82
2020-07-22,172.66
2020-07-23,175.19
2020-07-24,174.18
2020-07-25,175.08
2020-07-26,173.76
2020-07-27,174.71
2020-07-28,173.65
2020-07-29,173.8
2020-07-30,172.7
2020-07-31,171.61
2020-08-01,170.26
2020-08-02,171.48
2020-08-03,167.82
2020-08-04,171.82
2020-08-05,172.74
2020-08-06,171.46
2020-08-07,171.53
2020-08-08,174.92
2020-08-09,172.39
2020-08-10,171.06
2020-08-11,170.14
2020-08-12,171.36
2020-08-13,170.43
2020-08-14,169.82
2020-08-15,173.15
2020-08-16,170.65
2020-08-17,172.24
2020-08-18,172.86
2020-08-19,175.63
2020-08-20,177.19
2020-08-21,177.92
2020-08-22,177.68
2020-08-23,178.24
2020-08-24,177.83
2020-08-25,174.55
2020-08-26,172.01
2020-08-27,173.24
2020-08-28,174.06
2020-08-29,174.2
2020-08-30,175.8
2020-08-31,173.44
2020-09-01,172.71
2020-09-02,175.24
2020-09-03,174.72
2020-09-04,173.89
2020-09-05,172.67
2020-09-06,172.07
2020-09-07,171.87
2020-09-08,173.29
2020-09-09,174.48
2020-09-10,173.23
2020-09-11,174.49
2020-09-12,171.6
2020-09-13,173.81
2020-09-14,174.48
2020-09-15,172.25
2020-09-16,173.9
2020-09-17,175.24
2020-09-18,174.02
2020-09-19,175.26
2020-09-20,177.95
2020-09-21,179.91
2020-09-22,183.06
2020-09-23,185.18
2020-09-24,188.08
2020-09-25,187.7
2020-09-26,189.88
2020-09-27,192.33
2020-09-28,193.76
2020-09-29,190.57
2020-09-30,192.18
2020-10-01,189.76
2020-10-02,189.44
2020-10-03,191.04
2020-10-04,192.16
2020-10-05,194.07
2020-10-06,193.9
2020-10-07,195.62
2020-10-08,196.44
2020-10-09,195.98
2020-10-10,195.17
2020-10-11,194.43
2020-10-12,193.95
2020-10-13,194.88
2020-10-14,196.24
2020-10-15,195.63
2020-10-16,193.39
2020-10-17,195.97
2020-10-18,194.33
2020-10-19,194.27
2020-10-20,194.8
2020-10-21,191.64
2020-10-22,191.04
2020-10-23,188.96
2020-10-24,191.09
2020-10-25,190.01
2020-10-26,190.07
